name,facility_type,prefecture,city,address,postal_code,latitude,longitude,osm_type,osm_id,website
大内農村広場,陸上競技場・トラック,秋田県,,,,39.4365708,140.084667,way,625958943,
長根山運動公園陸上競技場,陸上競技場・トラック,秋田県,,,,40.2750906,140.5856595,way,663818830,http://bunkyo-osp.com/
陸上競技場兼サッカー場,陸上競技場・トラック,秋田県,,,,39.3924128,140.071848,way,736714035,
三輪陸上競技場,陸上競技場・トラック,秋田県,,,,39.1977975,140.4412273,way,769816476,
サッカー場/ラグビー場,陸上競技場・トラック,秋田県,,,,39.7989695,140.0473974,way,778002635,
十文字陸上競技場,陸上競技場・トラック,秋田県,横手市,横手市 字坊主沢 20 1,0190508,39.2358898,140.5184643,way,1321354205,https://www.city.yokote.lg.jp/shisetsu/1001526/1002573.html
雄物川陸上競技場,陸上競技場・トラック,秋田県,横手市,横手市 字兵部ケ沢 42 1,0130208,39.2996114,140.4065329,way,1321431864,https://www.city.yokote.lg.jp/shisetsu/1001526/1002590.html
湯沢市稲川陸上競技場,陸上競技場・トラック,秋田県,,,,39.1448507,140.5732225,way,1321434301,https://www.city-yuzawa.jp/soshiki/85/498.html
能代市陸上競技場,陸上競技場・トラック,秋田県,能代市,能代市 末広町 66 1,0160896,40.2109169,140.0159443,way,1321583662,
浅舞陸上競技場,陸上競技場・トラック,秋田県,横手市,横手市 字道川南 19 1,0130105,39.2595441,140.5041046,way,1334480895,https://www.city.yokote.lg.jp/shisetsu/1001526/1002547.html
元木山陸上競技場,陸上競技場・トラック,秋田県,,,,39.8614934,140.0701935,relation,3732393,
小坂町営陸上競技場,陸上競技場・トラック,秋田県,,,,40.3274556,140.7422476,relation,6664724,
陸上競技場,陸上競技場・トラック,秋田県,,,,39.798975,140.0473683,relation,10781475,
陸上競技場,陸上競技場・トラック,秋田県,,,,40.1884739,140.8178158,relation,11015993,
寒河江市競技場,陸上競技場・トラック,山形県,,,,38.3853204,140.2700902,node,4008924580,
小真木原陸上競技場,陸上競技場・トラック,山形県,,,,38.7136364,139.8150021,way,377970268,
鶴岡東高等学校グラウンド,陸上競技場・トラック,山形県,,,,38.7319108,139.8443932,way,411588007,
高畠町中央公園陸上競技場,陸上競技場・トラック,山形県,高畠町,高畠町 大字高畠 1210,,37.9975721,140.2055773,way,470435898,
山形県立庄内農業高等学校グラウンド,陸上競技場・トラック,山形県,,,,38.7715348,139.8987001,way,814054001,
羽黒体育館,陸上競技場・トラック,山形県,鶴岡市,鶴岡市 29 1,997-0141,38.7172555,139.8996457,way,850005826,http://www.city.tsuruoka.lg.jp/bunka/sports/sports-shisetsu/sportshagurotaiikuka.html
あかねヶ丘陸上競技場,陸上競技場・トラック,山形県,,,,38.2468539,140.3103008,way,996563504,
新庄市陸上競技場,陸上競技場・トラック,山形県,,,,38.7599259,140.3184227,way,1238788550,
米沢市営 陸上競技場サブグラウンド,陸上競技場・トラック,山形県,,,,37.8946964,140.124363,way,1433487638,
米沢市営 陸上競技場,陸上競技場・トラック,山形県,,,,37.8931418,140.1238338,way,1433505094,
陸上競技場,陸上競技場・トラック,福島県,,,,37.4625632,139.927345,node,2339800812,
