name,prefecture,city,website_url,latitude,longitude,source,source_id,wikipedia_title,discontinued
横浜国際女子駅伝,神奈川県,,,,,wikipedia,Q8054632,横浜国際女子駅伝,1
歌垣の郷ロードレース大会,佐賀県,,,33.180973,130.1435,wikipedia,Q11545091,歌垣の郷ロードレース大会,0
江東シーサイドマラソン大会,東京都,,,,,wikipedia,Q11551166,江東シーサイドマラソン大会,0
津山国際交流車いす駅伝競走大会,岡山県,,,,,wikipedia,Q11556018,津山国際交流車いす駅伝競走大会,1
浜松シティマラソン,静岡県,,,,,wikipedia,Q11557747,浜松シティマラソン,0
淀川寛平マラソン,大阪府,,,,,wikipedia,Q65272453,淀川寛平マラソン,0
淡路島女子駅伝競走大会,兵庫県,,,,,wikipedia,Q11559817,淡路島女子駅伝競走大会,1
湊酒田つや姫ハーフマラソン大会,山形県,,,,,wikipedia,,湊酒田つや姫ハーフマラソン大会,0
湘南国際マラソン,神奈川県,,,,,wikipedia,Q11563319,湘南国際マラソン,0
湘南藤沢市民マラソン,神奈川県,,,35.30086944,139.48258889,wikipedia,Q20044939,湘南藤沢市民マラソン,0
熊本城マラソン,熊本県,,https://kumamotojyo-marathon.jp/,,,wikipedia,Q17228348,熊本城マラソン,0
熊本甲佐10マイル公認ロードレース大会,熊本県,,,,,wikipedia,Q22130687,熊本甲佐10マイル公認ロードレース大会,0
熊谷さくらマラソン大会,埼玉県,,,,,wikipedia,Q11568693,熊谷さくらマラソン大会,0
猪苗代湖ハーフマラソン,福島県,,,,,wikipedia,Q18335692,猪苗代湖ハーフマラソン,0
環日本海新潟駅伝,新潟県,,,,,wikipedia,Q11574111,環日本海新潟駅伝,1
田沢湖マラソン,秋田県,,,,,wikipedia,Q17210675,田沢湖マラソン,0
白鷹若鮎マラソン大会,山形県,,,,,wikipedia,,白鷹若鮎マラソン大会,0
皇后盃全国都道府県対抗女子駅伝競走大会,京都府,,,,,wikipedia,Q6044676,皇后盃全国都道府県対抗女子駅伝競走大会,0
県内一周大分合同駅伝,大分県,,,,,wikipedia,Q17217814,県内一周大分合同駅伝,0
神戸マラソン,兵庫県,,,,,wikipedia,Q11589776,神戸マラソン,0
神戸全日本女子ハーフマラソン,兵庫県,,,,,wikipedia,Q11589806,神戸全日本女子ハーフマラソン,1
福岡マラソン,福岡県,,,,,wikipedia,Q18339108,福岡マラソン,0
福岡国際マラソン,福岡県,,https://www.fukuoka-international-marathon.jp/,,,wikipedia,Q1473381,福岡国際マラソン,0
福知山マラソン,京都府,,,,,wikipedia,Q11594319,福知山マラソン,0
立川シティハーフマラソン,東京都,,,,,wikipedia,Q24887859,立川シティハーフマラソン,0
箱根駅伝ミュージアム,神奈川県,,https://www.hakoneekidenmuseum.jp/,35.189444444,139.024833333,wikipedia,Q111244119,箱根駅伝ミュージアム,0
